"Total; tran P (v_vbias=2,v_vdd=2) X","Total; tran P (v_vbias=2,v_vdd=2) Y","Total; tran P (v_vbias=2,v_vdd=3) X","Total; tran P (v_vbias=2,v_vdd=3) Y","Total; tran P (v_vbias=2,v_vdd=4) X","Total; tran P (v_vbias=2,v_vdd=4) Y","Total; tran P (v_vbias=2,v_vdd=5) X","Total; tran P (v_vbias=2,v_vdd=5) Y","Total; tran P (v_vbias=2,v_vdd=6) X","Total; tran P (v_vbias=2,v_vdd=6) Y","Total; tran P (v_vbias=3,v_vdd=2) X","Total; tran P (v_vbias=3,v_vdd=2) Y","Total; tran P (v_vbias=3,v_vdd=3) X","Total; tran P (v_vbias=3,v_vdd=3) Y","Total; tran P (v_vbias=3,v_vdd=4) X","Total; tran P (v_vbias=3,v_vdd=4) Y","Total; tran P (v_vbias=3,v_vdd=5) X","Total; tran P (v_vbias=3,v_vdd=5) Y","Total; tran P (v_vbias=3,v_vdd=6) X","Total; tran P (v_vbias=3,v_vdd=6) Y","Total; tran P (v_vbias=4,v_vdd=2) X","Total; tran P (v_vbias=4,v_vdd=2) Y","Total; tran P (v_vbias=4,v_vdd=3) X","Total; tran P (v_vbias=4,v_vdd=3) Y","Total; tran P (v_vbias=4,v_vdd=4) X","Total; tran P (v_vbias=4,v_vdd=4) Y","Total; tran P (v_vbias=4,v_vdd=5) X","Total; tran P (v_vbias=4,v_vdd=5) Y","Total; tran P (v_vbias=4,v_vdd=6) X","Total; tran P (v_vbias=4,v_vdd=6) Y","Total; tran P (v_vbias=5,v_vdd=2) X","Total; tran P (v_vbias=5,v_vdd=2) Y","Total; tran P (v_vbias=5,v_vdd=3) X","Total; tran P (v_vbias=5,v_vdd=3) Y","Total; tran P (v_vbias=5,v_vdd=4) X","Total; tran P (v_vbias=5,v_vdd=4) Y","Total; tran P (v_vbias=5,v_vdd=5) X","Total; tran P (v_vbias=5,v_vdd=5) Y","Total; tran P (v_vbias=5,v_vdd=6) X","Total; tran P (v_vbias=5,v_vdd=6) Y","Total; tran P (v_vbias=6,v_vdd=2) X","Total; tran P (v_vbias=6,v_vdd=2) Y","Total; tran P (v_vbias=6,v_vdd=3) X","Total; tran P (v_vbias=6,v_vdd=3) Y","Total; tran P (v_vbias=6,v_vdd=4) X","Total; tran P (v_vbias=6,v_vdd=4) Y","Total; tran P (v_vbias=6,v_vdd=5) X","Total; tran P (v_vbias=6,v_vdd=5) Y","Total; tran P (v_vbias=6,v_vdd=6) X","Total; tran P (v_vbias=6,v_vdd=6) Y","frequency (v_vbias=2,v_vdd=2) X","frequency (v_vbias=2,v_vdd=2) Y","frequency (v_vbias=2,v_vdd=3) X","frequency (v_vbias=2,v_vdd=3) Y","frequency (v_vbias=2,v_vdd=4) X","frequency (v_vbias=2,v_vdd=4) Y","frequency (v_vbias=2,v_vdd=5) X","frequency (v_vbias=2,v_vdd=5) Y","frequency (v_vbias=2,v_vdd=6) X","frequency (v_vbias=2,v_vdd=6) Y","frequency (v_vbias=3,v_vdd=2) X","frequency (v_vbias=3,v_vdd=2) Y","frequency (v_vbias=3,v_vdd=3) X","frequency (v_vbias=3,v_vdd=3) Y","frequency (v_vbias=3,v_vdd=4) X","frequency (v_vbias=3,v_vdd=4) Y","frequency (v_vbias=3,v_vdd=5) X","frequency (v_vbias=3,v_vdd=5) Y","frequency (v_vbias=3,v_vdd=6) X","frequency (v_vbias=3,v_vdd=6) Y","frequency (v_vbias=4,v_vdd=2) X","frequency (v_vbias=4,v_vdd=2) Y","frequency (v_vbias=4,v_vdd=3) X","frequency (v_vbias=4,v_vdd=3) Y","frequency (v_vbias=4,v_vdd=4) X","frequency (v_vbias=4,v_vdd=4) Y","frequency (v_vbias=4,v_vdd=5) X","frequency (v_vbias=4,v_vdd=5) Y","frequency (v_vbias=4,v_vdd=6) X","frequency (v_vbias=4,v_vdd=6) Y","frequency (v_vbias=5,v_vdd=2) X","frequency (v_vbias=5,v_vdd=2) Y","frequency (v_vbias=5,v_vdd=3) X","frequency (v_vbias=5,v_vdd=3) Y","frequency (v_vbias=5,v_vdd=4) X","frequency (v_vbias=5,v_vdd=4) Y","frequency (v_vbias=5,v_vdd=5) X","frequency (v_vbias=5,v_vdd=5) Y","frequency (v_vbias=5,v_vdd=6) X","frequency (v_vbias=5,v_vdd=6) Y","frequency (v_vbias=6,v_vdd=2) X","frequency (v_vbias=6,v_vdd=2) Y","frequency (v_vbias=6,v_vdd=3) X","frequency (v_vbias=6,v_vdd=3) Y","frequency (v_vbias=6,v_vdd=4) X","frequency (v_vbias=6,v_vdd=4) Y","frequency (v_vbias=6,v_vdd=5) X","frequency (v_vbias=6,v_vdd=5) Y","frequency (v_vbias=6,v_vdd=6) X","frequency (v_vbias=6,v_vdd=6) Y"
0,7.232702472678719e-05,0,7.316733211075517e-05,0,7.367176761436345e-05,0,7.4140966230658e-05,0,7.459853130443615e-05,0,0.0001761837755172575,0,0.0002633108447349195,0,0.0002647389691097465,0,0.000265584587205788,0,0.0002663707831382017,0,0.0003698412522311735,0,0.0005176788158665456,0,0.0006465974335856937,0,0.0006485531993963324,0,0.0006497234184859867,0,0.0006694659814451919,0,0.0009351413060480587,0,0.001139235337741552,0,0.001307713739155933,0,0.001310450217327102,0,0.001053217398756774,0,0.001568647846171536,0,0.001881214749620961,0,0.002145653507656026,0,0.002353823763387462,2.88626686262487e-06,170899.1359008399,2.848749661910934e-06,173426.7791677863,2.810425654458341e-06,175417.4262518296,2.788613276970437e-06,177489.4721646609,2.770130566360885e-06,179155.3661487927,1.086667345679356e-06,439755.735893806,1.117403996090705e-06,444845.8872912984,1.098492630151993e-06,451028.7259473452,1.083272578308605e-06,456218.9976939847,1.070902472240868e-06,463437.2953296379,5.743796474523047e-07,846529.6915401365,6.012886354445309e-07,810004.4778000792,6.086403413888152e-07,823195.2009429288,5.996882533451185e-07,835232.1864788267,5.899941005126999e-07,847905.630439868,3.537776930523796e-07,1392632.339433241,3.757088375769672e-07,1301787.554481015,3.82684905505365e-07,1281265.951825318,3.855361877011221e-07,1301649.886496551,3.803146507910293e-07,1317819.507106919,2.509894987942584e-07,1987447.690725439,2.551487156634134e-07,1903770.336422434,2.632693588757756e-07,1853004.943393286,2.654903213896558e-07,1847699.671075502,2.669613575245345e-07,1873798.614903197
9.765625e-12,7.218768328674876e-05,9.765625e-12,7.302317709180019e-05,9.765625e-12,7.352468827764443e-05,9.765625e-12,7.399114249867236e-05,9.765625e-12,7.44460059932281e-05,9.765625e-12,0.0001759838858128942,9.765625e-12,0.0002620466459055107,9.765625e-12,0.0002634093069229415,9.765625e-12,0.0002642317883158089,9.765625e-12,0.0002650036500135095,9.765625e-12,0.0003696395029585155,9.765625e-12,0.0005160316890436529,9.765625e-12,0.0006412517881891968,9.765625e-12,0.0006431370447151368,9.765625e-12,0.0006442656631439478,9.765625e-12,0.0006692508861732688,9.765625e-12,0.0009334785556834804,9.765625e-12,0.001132878020979627,9.765625e-12,0.001293457392055484,9.765625e-12,0.001296057257586747,9.765625e-12,0.001052961866615291,9.765625e-12,0.001566902877252494,9.765625e-12,0.001874841669359135,9.765625e-12,0.002129225205947839,9.765625e-12,0.002323581157248163,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,3.360657013983499e-06,440891.9490073787,3.365373525693594e-06,446242.5292963667,3.31564631121652e-06,452490.856765252,3.275202342423259e-06,457266.1329148829,3.228691692223068e-06,464689.8835352687,1.75567312125905e-06,850028.332545226,1.83584971184245e-06,813096.1501550351,1.823419046189998e-06,827008.7625129981,1.796960121202369e-06,838871.323070242,1.769370630281974e-06,851839.3320339306,1.071842304712173e-06,1399778.369318605,1.143883334681198e-06,1307553.903379604,1.163162993271125e-06,1286477.269403911,1.153791930181571e-06,1307078.257873551,1.139143909735112e-06,1323593.853923113,7.541473955613375e-07,2002798.190241579,7.804221590343193e-07,1914220.277963292,8.029333266193079e-07,1861637.747223857,8.067038181793822e-07,1857942.212661892,8.006366372725994e-07,1881705.86174795
2.9296875e-11,7.200326297742638e-05,2.9296875e-11,7.283130839019971e-05,2.9296875e-11,7.332893405709611e-05,2.9296875e-11,7.37917422088434e-05,2.9296875e-11,7.424301686391319e-05,2.9296875e-11,0.0001757201533224055,2.9296875e-11,0.0002606351793595302,2.9296875e-11,0.0002619885220232644,2.9296875e-11,0.0002627963996584554,2.9296875e-11,0.0002635530278099277,2.9296875e-11,0.0003693816131430686,2.9296875e-11,0.0005142734775802204,2.9296875e-11,0.0006361366619168199,2.9296875e-11,0.0006379557736262781,2.9296875e-11,0.0006390463463809767,2.9296875e-11,0.0006689820320461162,2.9296875e-11,0.000931741636361689,2.9296875e-11,0.0011268287041457,2.273755112044804e-11,0.001284689164704546,2.9296875e-11,0.001282929718669699,2.9296875e-11,0.001052648952148109,2.9296875e-11,0.001565116143060781,2.9296875e-11,0.001868749001812295,2.3399790684572e-11,0.002118612444083911,2.137466635934789e-11,0.002307407340872015,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,5.628786432657152e-06,440710.5441459581,5.606307399873618e-06,446366.7808836499,5.525635717740132e-06,452490.9737687227,5.462112607623555e-06,457265.6988957914,5.380664514166593e-06,464422.6105191894,2.932104496205948e-06,849788.01921807,3.065716560688466e-06,812926.5507755995,3.032596077109646e-06,827205.8026826719,2.989038062715535e-06,838885.5506674376,2.943300927222252e-06,851841.0884490842,1.786241113779917e-06,1399464.961857535,1.908670160995068e-06,1307554.061435383,1.940479486755187e-06,1286311.523873508,1.918857062262394e-06,1307199.466315616,1.894662679360715e-06,1323556.300236704,1.253448825367093e-06,2002800.865325586,1.30282807621747e-06,1913403.796012261,1.340094759605525e-06,1861740.604538489,1.344933690553771e-06,1857952.38549619,1.33206932307562e-06,1881708.240134752
6.835937500000002e-11,7.167148890688183e-05,6.835937500000002e-11,7.248914325040576e-05,6.835937500000002e-11,7.297979983793659e-05,6.835937500000002e-11,7.343606820595761e-05,6.835937500000002e-11,7.388090549959066e-05,6.835937500000002e-11,0.0001752492853024711,6.835937500000002e-11,0.0002580308247961511,6.835937500000002e-11,0.0002593333845541689,6.835937500000002e-11,0.0002601117278353831,6.835937500000002e-11,0.0002608399507218924,6.835937500000002e-11,0.0003689135746683084,6.835937500000002e-11,0.0005109899546963032,4.971611893597517e-11,0.0006309979616248717,5.205065010540272e-11,0.0006321648851126277,5.417334144157146e-11,0.0006326779926784556,6.835937500000002e-11,0.0006684950826004072,6.835937500000002e-11,0.0009284727524482594,5.079948579005971e-11,0.001120434104116552,3.858152950327353e-11,0.001274351531308606,4.816560393939446e-11,0.001270722755479527,6.835937500000002e-11,0.001052072117548146,6.835937500000002e-11,0.001561721473076971,5.280354585574636e-11,0.001861699960133709,4.019625533837915e-11,0.002106040722250889,3.529248475363748e-11,0.002288688797997745,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,7.735624552812719e-06,452490.9721988195,7.649024948555331e-06,457264.2092529312,7.533875786292374e-06,464896.6163230583,4.108868556636157e-06,850267.8806295409,4.295839994405715e-06,813104.5724882422,4.241485082429662e-06,827064.1598873315,4.181095786447188e-06,838898.0491839685,4.117228803630119e-06,851847.4903551218,2.500799911073907e-06,1400143.480045208,2.6734568948623e-06,1307539.946226218,2.717896140062211e-06,1286246.491274921,2.683851254631928e-06,1307482.158527686,2.650202885562114e-06,1323662.074562376,1.752749588270166e-06,2002800.866272871,1.825456912892775e-06,1913092.127934134,1.877226515534484e-06,1861765.346071431,1.883160615961732e-06,1857953.976324544,1.863501337173825e-06,1881710.818230212
1.12256051779957e-10,7.13098316978243e-05,1.124817509242996e-10,7.211306467880651e-05,1.167506512553265e-10,7.255930433335661e-05,1.203181227365339e-10,7.297644237210742e-05,1.234008671535538e-10,7.338551378375899e-05,1.099872096262218e-10,0.0001747608650122293,9.672358813828736e-11,0.0002561847578753555,9.841270915757807e-11,0.0002573406599617149,1.003610608749929e-10,0.0002579678272428813,1.023043243572688e-10,0.0002585436140547967,1.139099158457329e-10,0.0003683847124164775,9.689556930468234e-11,0.0005086538836804629,6.99764851596902e-11,0.0006260199769509516,7.415879748364148e-11,0.0006266861938392642,7.794698529694953e-11,0.0006267660839454369,1.175509367284838e-10,0.000667899513705287,9.90418345113465e-11,0.0009259762945661318,7.191196813887571e-11,0.00111432128212725,5.393566730600304e-11,0.001264618961542378,6.716857479361297e-11,0.001258846047652109,1.207581327981182e-10,0.001051329262074147,1.00929786538634e-10,0.001558969512870337,7.549670327618248e-11,0.001855087425016744,5.642980533515176e-11,0.00209426936612871,4.885238799715857e-11,0.002271093328758848,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,5.284968492646438e-06,850050.2581751737,5.525694103994381e-06,812975.2283161567,5.450581121769858e-06,827058.6342201286,5.373135750031252e-06,838942.4096261403,5.29114785759495e-06,851850.1502196131,3.215012428756532e-06,1399455.931849511,3.438251884786829e-06,1307538.34923418,3.495352099540712e-06,1286220.833725459,3.448680046732669e-06,1307077.2884388,3.405682716266349e-06,1323784.720009391,2.25205035093708e-06,2002800.866273283,2.348170892736421e-06,1913145.113318125,2.41435113336569e-06,1862040.092337152,2.421387080525847e-06,1857954.016464949,2.394932623167344e-06,1881711.673963347
2.00049405339871e-10,7.060358689894837e-05,2.007265027728987e-10,7.137889994041366e-05,2.135332037659794e-10,7.174038818962439e-05,2.242356182096018e-10,7.20831616752784e-05,2.334838514606613e-10,7.242442964953676e-05,1.932428788786654e-10,0.0001738089656808069,1.534520144148621e-10,0.0002526004565854012,1.585193774727342e-10,0.0002534790589137403,1.643644326249785e-10,0.0002538219999714259,1.701942230718065e-10,0.0002541123941161896,2.050109975371985e-10,0.0003673598909310776,1.53967957914047e-10,0.0005041314102082257,1.104972176071202e-10,0.000616415325847209,1.18375092240119e-10,0.0006161519905677736,1.254942730077057e-10,0.0006154340672263244,2.159340601854515e-10,0.0006667490599049881,1.604067535340395e-10,0.0009211598695238963,1.141369328365077e-10,0.001102573691132899,8.464394291146208e-11,0.001245954743177584,1.0517451650205e-10,0.001236293948660992,2.255556483943545e-10,0.001049883180698256,1.66070609615902e-10,0.001553668666138247,1.208830181170547e-10,0.001842418510842786,8.889690532869701e-11,0.002071794139026343,7.597219448420074e-11,0.002237708331974698,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,6.46136952350634e-06,850029.0507594652,6.755743883089386e-06,812908.6565183189,6.659685239210027e-06,827208.6892100791,6.565112682566624e-06,838850.1971429455,6.465063246049355e-06,851850.2198485222,3.929575836750671e-06,1400157.439368118,4.203047808811311e-06,1307538.349005528,4.272823567720528e-06,1286358.975083463,4.213745746247975e-06,1307197.920803697,4.161092553594661e-06,1323468.9234167,2.751351113603891e-06,2002800.866273283,2.870870395789599e-06,1913939.887311288,2.951396497810471e-06,1861684.149783443,2.959613533461781e-06,1857953.140577466,2.926363667485497e-06,1881715.267350416
3.75636112459699e-10,6.925281775247718e-05,3.772160064700969e-10,6.997558172422069e-05,4.070983087872852e-10,7.018128766623176e-05,4.320706091557375e-10,7.038809275421672e-05,4.536498200748762e-10,7.06059363435945e-05,3.597542173835525e-10,0.0001719955231059577,2.669088669680114e-10,0.0002458269726523743,2.787327141030464e-10,0.0002462074585747602,2.923711761249499e-10,0.0002460452022511872,3.059740205008817e-10,0.0002458322524165758,3.872131609201299e-10,0.0003654258314371138,2.681127351327763e-10,0.000495631857344631,1.915386825019803e-10,0.000598502864301532,2.06807681753074e-10,0.0005966352685209957,2.205888484292179e-10,0.0005945628596437002,4.127003070993868e-10,0.0006645842041946314,2.831365915794254e-10,0.0009121581121713046,1.985868622317717e-10,0.001080823373175423,1.460604941223801e-10,0.001211570191167924,1.81186399918924e-10,0.00119552406612475,4.351506795868271e-10,0.001047140856039211,2.96352255770438e-10,0.00154377565952618,2.116556477987992e-10,0.001819093727494376,1.538311053157875e-10,0.002030756316643889,1.302118074582851e-10,0.002177527715392768,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,7.637799904452193e-06,850031.4920256555,7.985894395058334e-06,812836.346886602,7.868570026137161e-06,827306.7698849968,7.757220645831003e-06,839014.9615693935,7.638978538549745e-06,851850.2198675309,4.643781233860366e-06,1400511.143388433,4.967843732969534e-06,1307540.103528246,5.050211543681995e-06,1286291.932035495,4.978740843077058e-06,1307487.739999185,4.916682641360663e-06,1323481.917401208,3.250651876270702e-06,2002800.866273285,3.393352845018871e-06,1914851.146334737,3.488544542024267e-06,1861648.605104784,3.497840240131677e-06,1857954.014112868,3.457793696964967e-06,1881716.747575165
7.26809526699355e-10,6.675043962812695e-05,7.301950138644934e-10,6.737864663549067e-05,7.942285188298969e-10,6.731392354999136e-05,8.477405910480088e-10,6.728668651111258e-05,8.939817573033062e-10,6.729351234261723e-05,6.927768943933266e-10,0.0001686611589864521,4.938225720743102e-10,0.000233629968654104,5.191593873636708e-10,0.0002331949885830301,5.483846631248927e-10,0.0002322216490794747,5.775336153590322e-10,0.0002312119451765746,7.516174876859928e-10,0.0003619148255129648,4.96402289570235e-10,0.0004804746183568162,3.536216122917005e-10,0.0005671448100605632,3.836728607789841e-10,0.000562884140397986,4.107779992722424e-10,0.0005588616237548251,8.062328009272575e-10,0.0006606416307227645,5.285962676701974e-10,0.000896211253103855,3.674867210222997e-10,0.001043224585281579,2.688935965442162e-10,0.00115285711790628,3.332101667526721e-10,0.001128337707747046,8.543407419717724e-10,0.001042027006798091,5.5691554807951e-10,0.001526209687188784,3.932009071622881e-10,0.001779128535423187,2.836995052899685e-10,0.001961934170909408,2.386910334064537e-10,0.002079263427645494,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,8.814226906723561e-06,849992.7908769968,  ,  ,  ,  ,  ,  ,8.812893831023941e-06,851850.2198675333,5.357806255882378e-06,1400847.410327935,5.732638630886329e-06,1307541.700652894,5.82764003801885e-06,1286394.066050286,5.743566370236971e-06,1307078.278497733,5.672265310720893e-06,1323481.472406065,3.749952638937513e-06,2002800.866273285,3.915586649935835e-06,1913707.046685923,4.02570284206968e-06,1861953.329174679,4.036066693748979e-06,1857954.014126697,3.989223308402835e-06,1881718.409367422
1.429156355178667e-09,6.233601322737718e-05,1.436153028653287e-09,6.280606990856675e-05,1.56848893891512e-09,6.231366204399409e-05,1.679080554832552e-09,6.19219604693764e-05,1.774645631760166e-09,6.160433302487805e-05,1.358822248412875e-09,0.0001628503408494211,9.476499822869077e-10,0.000213395540254904,1.00001273388492e-09,0.0002118361278245453,1.060411637124778e-09,0.0002097876906787625,1.120652805075333e-09,0.0002077500458767061,1.480426141217718e-09,0.0003558460966836279,9.529813984451525e-10,0.0004557160671138953,6.77787471871141e-10,0.0005181591123423265,7.374032188308042e-10,0.0005113147428921241,7.911563009582915e-10,0.0005053822907559788,1.593297788582999e-09,0.0006536200982429691,1.019515619851741e-09,0.00087018259130688,7.052864386033557e-10,0.0009857390462815767,5.145598013878884e-10,0.001065832741452782,6.113861844370445e-10,0.001041562510867083,1.692720866741663e-09,0.001032324506542311,1.078042132697654e-09,0.001496935563295284,7.56291425889266e-10,0.001718541525236447,5.434363052383305e-10,0.001863471021290294,4.55649485302791e-10,0.001946438060850304,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,6.071659879501458e-06,1400705.393778832,6.497432594628113e-06,1307538.377273178,6.605006807962353e-06,1286485.833131991,6.508631490245952e-06,1307205.479482321,6.427848234131237e-06,1323675.285610101,4.249253401604323e-06,2002806.415031523,4.438132669574399e-06,1913500.504039011,4.562773231714331e-06,1861728.547445163,4.574293147362275e-06,1857955.647220136,4.520652450522017e-06,1881720.143189299
2.297932195772112e-09,5.768052371171174e-05,2.300579625310759e-09,5.804122430162358e-05,2.540207923200302e-09,5.705363490035225e-05,2.743833369030763e-09,5.623813219673384e-05,2.922293585012222e-09,5.554330887832351e-05,2.159913583885253e-09,0.0001569463847646576,1.467616604807821e-09,0.000195217680574548,1.577502748874004e-09,0.0001921217203594081,1.690559557948193e-09,0.0001889675870715388,1.796688799892572e-09,0.0001861091037253109,2.375656513207141e-09,0.0003494721178963086,1.50043002314166e-09,0.0004329517055373882,1.073883792199863e-09,0.0004758726391859182,1.171819185193007e-09,0.0004680452665101976,1.260723666992156e-09,0.0004616419978230055,2.599443560097199e-09,0.0006453828781263075,1.615367019021387e-09,0.0008455289440361399,1.099407587911846e-09,0.0009393767661138719,8.031460945158004e-10,0.0009992392205548173,9.397917331053843e-10,0.0009788269554270616,2.82702610898923e-09,0.00101903948332018,1.774418983930067e-09,0.001465099038206894,1.249189709185073e-09,0.001663116427095882,8.902434617813108e-10,0.001784704089390293,7.165717683201386e-10,0.001857203706638261,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,6.785585880244693e-06,1399894.091816283,7.262228502252226e-06,1307538.349007015,7.382318127097106e-06,1286315.419323835,7.273622163629618e-06,1307492.491863153,7.183320524708216e-06,1323755.408867464,4.748552780962593e-06,2002829.767393375,4.960735092667157e-06,1913379.243349595,5.099908466264122e-06,1862038.813160977,5.11251912788888e-06,1857956.519868511,5.052081102980993e-06,1881720.143389438
3.39077399470777e-09,5.277952691394335e-05,3.388929343240371e-09,5.302796051952973e-05,3.783991939033463e-09,5.154806323946921e-05,4.125568732279843e-09,5.032128462663927e-05,4.429355466263591e-09,4.926919662736582e-05,3.162534365149128e-09,0.0001507583787157753,2.100497899379879e-09,0.0001782485742508951,2.286638002382681e-09,0.0001741183527436033,2.474793084895504e-09,0.0001702365716770856,2.651777616530455e-09,0.000166848701613897,3.517483108720902e-09,0.0003423761490218359,2.174364448292378e-09,0.0004120505651297166,1.556409298158339e-09,0.0004416722954284403,1.708238220849842e-09,0.0004342715307950879,1.84747075947739e-09,0.000428736958461016,3.920479273705865e-09,0.0006349500780360976,2.374720610191909e-09,0.00082123183815564,1.606316131107535e-09,0.0009009387699559526,1.1770310541266e-09,0.0009484193233231628,1.355266334604014e-09,0.0009364050350048526,4.312746337263741e-09,0.001000683130616972,2.642485398131375e-09,0.00143307535973546,1.841005102890934e-09,0.001622135811758641,1.278668799390495e-09,0.001738400097387803,1.009762613024493e-09,0.001807827914105496,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,7.499925633405989e-06,1399433.548156626,8.027024426409579e-06,1307538.349005532,8.15973242609203e-06,1286244.690853253,8.038444911158377e-06,1307088.445150506,7.938747088634816e-06,1323571.937062006,5.247846338647963e-06,2002821.018710539,5.483370635764918e-06,1913368.741610056,5.636954199646237e-06,1861711.721660456,5.650744855620534e-06,1857956.519917681,5.583509755383446e-06,1881720.143389447
4.776749657538362e-09,4.773693397251348e-05,4.767849957413824e-09,4.788439580830283e-05,5.404836938251351e-09,4.591340816308838e-05,5.968678448046212e-09,4.429224251454737e-05,6.480237082243743e-09,4.291260198609185e-05,4.418768017482257e-09,0.0001443828412771361,2.867341280835297e-09,0.0001631587179533087,3.167162847436969e-09,0.0001584370492029521,3.450669494023088e-09,0.0001545843403566534,3.736542933920378e-09,0.0001512862572832385,4.996293111607067e-09,0.000334230904590423,3.014215256183324e-09,0.0003936512912262145,2.144137466061376e-09,0.0004170416165967209,2.359943153938102e-09,0.0004122753249067157,2.558511226618053e-09,0.0004087333072205282,5.715349327331014e-09,0.0006208928721925049,3.328935892764902e-09,0.0007988185540784891,2.208929590628231e-09,0.000875684636294406,1.588274370877679e-09,0.0009204383603550946,1.836346769699167e-09,0.0009132414853877375,6.430489351292145e-09,0.0009738428375056638,3.797426878286868e-09,0.001402500127990946,2.543617816493967e-09,0.001595241486647393,1.738528333713114e-09,0.001711187055038907,1.356451704422132e-09,0.001780049533598664,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,8.214500470715862e-06,1400349.441093641,8.7918203505678e-06,1307540.152417485,8.937189473814911e-06,1286225.411450905,8.803504080421291e-06,1307211.653768521,8.694278368800628e-06,1323574.73730293,5.747142077337495e-06,2002802.152812345,6.00600904740664e-06,1913481.969577492,6.174094288718729e-06,1861700.898255761,6.188970583337943e-06,1857954.045088541,6.114938407785896e-06,1881718.444118417
6.827652984580343e-09,4.203968706205986e-05,6.811389127959052e-09,4.207963738447388e-05,7.913382730912256e-09,3.959765317300895e-05,8.928086992073244e-09,3.760692737881706e-05,9.783272535570737e-09,3.611931660175613e-05,6.219846651420663e-09,0.0001371272330985777,3.884796936171724e-09,0.0001497747429990369,4.366213615935575e-09,0.0001457007719741309,4.818672097759139e-09,0.0001426762335270369,5.274877614664945e-09,0.0001396959325854064,7.270120845348952e-09,0.0003231379161519686,4.151230989658706e-09,0.0003785933416222256,2.892146802556843e-09,0.0004003208546683345,2.983790008460075e-09,0.0004008437418090571,3.480528447638759e-09,0.0003975998663467008,8.500063299093472e-09,0.0006005233418563548,4.695808161592124e-09,0.000779343528881747,2.820511839632063e-09,0.0008616796343817496,2.142927329596486e-09,0.0009026738558364759,2.28493333996722e-09,0.0009042885059125762,9.240568177917564e-09,0.0009442201227348415,5.197983981887068e-09,0.001376086923048896,3.313173999191279e-09,0.001576450023352445,2.162430285041723e-09,0.001698888281434234,1.663864332434054e-09,0.001768611734988836,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,8.928607943218599e-06,1399778.020933376,  ,  ,  ,  ,  ,  ,  ,  ,6.246442519268713e-06,2002800.867484456,6.528616532556242e-06,1914551.275670151,6.711237500572419e-06,1861679.493229988,6.727197027981974e-06,1857947.697277746,6.646367540090809e-06,1881708.537384981
9.648130857127687e-09,3.65683991815517e-05,9.603143056214077e-09,3.655887516374055e-05,1.115241736048841e-08,3.429750998501152e-05,1.256133597792938e-08,3.275238818402856e-05,1.378105408298695e-08,3.168699264436984e-05,8.741542003152845e-09,0.0001295117549398851,5.23816090313575e-09,0.0001395570603915673,5.490849092313351e-09,0.0001388229111076531,6.059038763186193e-09,0.0001371896332113978,6.766621433621596e-09,0.0001359375082372025,1.079588530025404e-08,0.0003101366194453923,5.174011563130276e-09,0.0003705963038973339,3.505711788274803e-09,0.0003938654307519085,3.596804517705722e-09,0.00039508804773919,4.197796345812761e-09,0.0003946262431489596,1.233495794560526e-08,0.0005801753235722566,6.313379299176835e-09,0.0007663170447771643,3.410484994531074e-09,0.0008545663844590459,2.553299467836913e-09,0.0008968757029126325,2.914088458339179e-09,0.000898707933754294,1.192297476006096e-08,0.0009265708463387678,6.369553889218247e-09,0.001360982162607782,4.039161158856022e-09,0.001562037374269721,2.746479693825536e-09,0.001685419105105481,2.110547679920948e-09,0.001757326616365677,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,6.745743281633578e-06,2002800.866273973,7.050932133453361e-06,1914160.394270699,7.248386888335731e-06,1861864.911935477,7.265425311515032e-06,1857945.034920325,7.177799470239621e-06,1881705.315615691
